"search-number","evaluation","scale*","init-percent-schizophrenia-inherited*","init-percent-schizophrenia-exhibited*","schizophrenia-inherit-threshold*","schizophrenia-via-social-interaction-threshold*","schizophrenia-exhibit-inherited-threshold*","schizophrenia-exhibit-uninherited-threshold*","stop-year*","stress-start-year*","stress-start-month*","stress-end-year*","stress-end-month*","inheretence-augmentation-by-shock*","use-stress?*","fitness","num-replicates","best-fitness-so-far"
"1","340","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","85003086277463","10","1.0357354618120236E13"
"1","350","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","8.071486129129783E13","10","1.0357354618120236E13"
"1","360","5000","16","36","0.06290000000000001","39.0001","0.10160000000000001","0.5003000000000001","1970","1944","1","1944","12","8682","true","7.86923977845353E13","10","1.0357354618120236E13"
"1","370","5000","36","36","0.2512","8.0001","0.2248","0.0296","1970","1944","1","1944","12","2348","true","4.6974663626041445E13","10","1.0357354618120236E13"
"1","380","5000","36","41","0.554","46.0001","0.3266","0.0412","1970","1944","1","1944","12","587","true","5.103087442862748E13","10","1.0357354618120236E13"
"1","390","5000","16","16","0.1417","46.0001","0.41240000000000004","0.8382000000000001","1970","1944","1","1944","12","1826","true","8.691378792643966E13","10","1.0357354618120236E13"
"1","400","5000","11","16","0.1467","11.0001","0.22560000000000002","0.0679","1970","1944","1","1944","12","3301","true","5.71353218614344E13","10","1.0357354618120236E13"
"1","410","5000","41","41","0.161","11.0001","0.9831000000000001","0.4832","1970","1944","1","1944","12","5048","true","7.852679026028747E13","10","1.0357354618120236E13"
"1","420","5000","11","11","0.005900000000000001","46.0001","0.44820000000000004","0.2922","1970","1944","1","1944","12","2738","true","7.109874377672275E13","10","1.0357354618120236E13"
"1","430","5000","41","31","0.0303","43.0001","0.22410000000000002","0.2217","1970","1944","1","1944","12","2236","true","6.817617310711479E13","10","1.0357354618120236E13"
"1","440","5000","41","16","0.3602","42.0001","0.7734000000000001","0.1706","1970","1944","1","1944","12","64","true","6.33833722120195E13","10","1.0357354618120236E13"
"1","450","5000","41","11","0.2936","8.0001","0.5993","0.0041","1970","1944","1","1944","12","2075","true","14.233375533606878","10","14.233375533606878"
"1","460","5000","31","26","0.2618","7.0001","0.5223","0.8162","1970","1944","1","1944","12","4518","true","8.391990762765603E13","10","14.233375533606878"
"1","470","5000","41","36","0.6077","36.0001","0.7256","0.8012","1970","1944","1","1944","12","3762","true","83078704953133","10","14.233375533606878"
"1","480","5000","41","1","0.6539","6.0001","0.10310000000000001","0.2796","1970","1944","1","1944","12","4345","true","6.955926765530035E13","10","14.233375533606878"
"1","490","5000","26","16","0.4304","25.0001","0.3032","0.4551","1970","1944","1","1944","12","7913","true","7.647418825210739E13","10","14.233375533606878"
"1","500","5000","21","1","0.11370000000000001","7.0001","0.1836","0.6017","1970","1944","1","1944","12","4238","true","8.003033113935136E13","10","14.233375533606878"
